"Abieluvararegistri seadus"	"AVRS"
"Abipolitseiniku seadus"	"APolS"
"Advokatuuriseadus"	"AdvS"
"Alaealise mõjutusvahendite seadus"	"AMVS"
"Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seadus"	"ATKEAS"
"Alkoholiseadus"	"AS"
"Ametiühingute seadus"	"AÜS"
"Arenguseire seadus"	"ASeS"
"Arhiiviseadus"	"ArhS"
"Asendustäitmise ja sunniraha seadus"	"ATSS"
"Asjaajamiskorra ühtsed alused"	"AÜA"
"Asjaõigusseadus"	"AÕS"
"Asjaõigusseaduse rakendamise seadus"	"AÕSRS"
"Atmosfääriõhu kaitse seadus"	"AÕKS"
"Audiitortegevuse seadus"	"AudS"
"Autoriõiguse seadus"	"AutÕS"
"Autoveoseadus"	"AutoVS"
"Avaliku teabe seadus"	"AvTS"
"Avaliku teenistuse seadus"	"ATS"
"Biotsiidiseadus"	"BS"
"Digitaalallkirja seadus"	"DAS"
"Eesti Arengufondi seadus"	"EAFS"
"Eesti Haigekassa seadus"	"HKS"
"Eesti Kultuurkapitali seadus"	"KultKS"
"Eesti lipu seadus"	"ELS"
"Eesti Panga seadus"	"EPS"
"Eesti Rahvusraamatukogu seadus"	"ERRS"
"Eesti Rahvusringhäälingu seadus"	"ERHS"
"Eestisse lähetatud töötajate töötingimuste seadus"	"ELTTS"
"Eesti Teaduste Akadeemia seadus"	"TAS"
"Eesti territooriumi haldusjaotuse seadus"	"ETHS"
"Eestit okupeerinud riikide julgeolekuorganite või relvajõudude luure- või vastuluureorganite teenistuses olnud või nendega koostööd teinud isikute arvelevõtmise ja avalikustamise korra seadus"	"OkupS"
"Eesti Vabariigi haridusseadus"	"HaS"
"Eesti Vabariigi omandireformi aluste seadus"	"ORAS"
"Eesti Vabariigi põhiseadus"	"PS"
"Eesti Vabariigi põhiseaduse rakendamise seadus"	"PSRS"
"Eesti Vabariigi põhiseaduse täiendamise seadus"	"PSTS"
"Eesti väärtpaberite keskregistri seadus"	"EVKS"
"Ehitusseadustik"	"EhS"
"Ehitusseadustiku ja planeerimisseaduse rakendamise seadus"	"EhSRS"
"E-identimise ja e-tehingute usaldusteenuste seadus"	"EUTS"
"Ekspordi riikliku tagamise seadus"	"ERTS"
"Elamuseadus"	"ES"
"Elatisabi seadus"	"ElatisAS"
"Elektrituruseadus"	"ELTS"
"Elektroonilise side seadus"	"ESS"
"Eluruumide erastamise seadus"	"EES"
"Energiamajanduse korralduse seadus"	"EnKS"
"Erakonnaseadus"	"EKS"
"Erakooliseadus"	"EraKS"
"Erakorralise seisukorra seadus"	"ErSS"
"Erastamisest laekuva raha kasutamise seadus"	"ELRKS"
"Erastamisseadus"	"ErS"
"Etendusasutuse seadus"	"EAS"
"Ettevõtluse toetamise ja laenude riikliku tagamise seadus"	"ETS"
"Euroopa Liidu kodaniku seadus"	"ELKS"
"Euroopa Liidu liikmesriigist ebaseaduslikult väljaviidud kultuuriväärtuste tagastamise seadus"	"ELKTS"
"Euroopa Liidu Nõukogu määruse (EMÜ) nr 2137/85 «Euroopa majandushuviühingu kohta» rakendamise seadus"	"EMHÜS"
"Euroopa Liidu Nõukogu määruse (EÜ) nr 1435/2003 «Euroopa ühistu (SCE) põhikirja kohta» rakendamise seadus"	"SCEPS"
"Euroopa Liidu Nõukogu määruse (EÜ) nr 2157/2001 «Euroopa äriühingu (SE) põhikirja kohta» rakendamise seadus"	"SEPS"
"Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus"	"ELÜPS"
"Euroopa Parlamendi ja nõukogu määruse (EL) nr 211/2011 „Kodanikualgatuse kohta” rakendamise seadus"	"EKodAS"
"Euroopa Parlamendi ja nõukogu määruse (EÜ) nr 1082/2006 «Euroopa territoriaalse koostöö rühmituse (ETKR) kohta» rakendamise seadus"	"ETKRS"
"Euroopa Parlamendi valimise seadus"	"EPVS"
"Finantsinspektsiooni seadus"	"FIS"
"Finantskriisi ennetamise ja lahendamise seadus"	"FELS"
"Geneetiliselt muundatud mikroorganismide suletud keskkonnas kasutamise seadus"	"GMMOKS"
"Geneetiliselt muundatud organismide keskkonda viimise seadus"	"GMOVS"
"Geograafilise tähise kaitse seadus"	"GTKS"
"Halduskohtumenetluse seadustik"	"HKMS"
"Halduskoostöö seadus"	"HKTS"
"Haldusmenetluse seadus"	"HMS"
"Haldusreformi seadus"	"HRS"
"Hasartmängumaksu seadus"	"HasMMS"
"Hasartmänguseadus"	"HasMS"
"Hea õigusloome ja normitehnika eeskiri"	"HÕNTE"
"Hoiu-laenuühistu seadus"	"HLÜS"
"Hooneühistuseadus"	"HÜS"
"Huvikooli seadus"	"HuviKS"
"Hädaolukorra seadus"	"HOS"
"Individuaalse töövaidluse lahendamise seadus"	"ITVS"
"Infoühiskonna teenuse seadus"	"InfoTS"
"Inimgeeniuuringute seadus"	"IGUS"
"Investeerimisfondide seadus"	"IFS"
"Isikuandmete kaitse seadus"	"IKS"
"Isikut tõendavate dokumentide seadus"	"ITDS"
"Jahiseadus"	"JahiS"
"Julgeolekuasutuste seadus"	"JAS"
"Jäätmeseadus"	"JäätS"
"Kaasomandis oleva elamu mõttelise osa erastamise seadus"	"EMOES"
"Kaevandamisseadus"	"KaevS"
"Kaitseliidu seadus"	"KaLS"
"Kaitseväe korralduse seadus"	"KKS"
"Kaitseväeteenistuse seadus"	"KVTS"
"Kaitseväeteenistuse seaduse rakendamise seadus"	"KVTRS"
"Kalandusturu korraldamise seadus"	"KTKS"
"Kalapüügiseadus"	"KPS"
"Kalmistuseadus"	"KalmS"
"Karistusregistri seadus"	"KarRS"
"Karistusseadustik"	"KarS"
"Karistusseadustiku rakendamise seadus"	"KarSRS"
"Kasuliku mudeli seadus"	"KasMS"
"Kaubamärgiseadus"	"KaMS"
"Kaubandusliku meresõidu koodeks"	"KMSK"
"Kaubandusliku meresõidu seadus"	"KMSS"
"Kaubandustegevuse seadus"	"KaubTS"
"Kaugkütteseadus"	"KKütS"
"Keeleseadus"	"KeeleS"
"Keemilise ja Bioloogilise Füüsika Instituudi seadus"	"KBFIS"
"Kemikaaliseadus"	"KemS"
"Keskkonnajärelevalve seadus"	"KeJS"
"Keskkonnamõju hindamise ja keskkonnajuhtimissüsteemi seadus"	"KeHJS"
"Keskkonnaregistri seadus"	"KeRS"
"Keskkonnaseadustiku üldosa seadus"	"KeÜS"
"Keskkonnaseire seadus"	"KeSS"
"Keskkonnatasude seadus"	"KeTS"
"Keskkonnavastutuse seadus"	"KeVS"
"Kiirgusseadus"	"KiS"
"Kindlustustegevuse seadus"	"KindlTS"
"Kinnisasja omandamise kitsendamise seadus"	"KAOKS"
"Kinnisasja sundvõõrandamise seadus"	"KASVS"
"Kinnistusraamatuseadus"	"KRS"
"Kirikute ja koguduste seadus"	"KiKoS"
"Kodakondsuse seadus"	"KodS"
"Kogumispensionide seadus"	"KoPS"
"Kohalike maksude seadus"	"KoMS"
"Kohaliku omavalitsuse korralduse seadus"	"KOKS"
"Kohaliku omavalitsuse volikogu valimise seadus"	"KOVVS"
"Kohaliku omavalitsuse üksuse finantsjuhtimise seadus"	"KOFS"
"Kohaliku omavalitsuse üksuste liitude seadus"	"KOLS"
"Kohaliku omavalitsuse üksuste ühinemise soodustamise seadus"	"KOÜS"
"Kohanimeseadus"	"KNS"
"Kohtuekspertiisiseadus"	"KES"
"Kohtute seadus"	"KS"
"Kohtutäituri seadus"	"KTS"
"Kollektiivlepingu seadus"	"KLS"
"Kollektiivse töötüli lahendamise seadus"	"KTTLS"
"Kommertspandiseadus"	"KomPS"
"Konkurentsiseadus"	"KonkS"
"Konsulaarseadus"	"KonS"
"Koolieelse lasteasutuse seadus"	"KELS"
"Kooseluseadus"	"KooS"
"Korrakaitseseadus"	"KorS"
"Korruptsioonivastane seadus"	"KVS"
"Korteriomandi- ja korteriühistuseadus"	"KrtS"
"Korteriomandiseadus"	"KOS"
"Korteriühistuseadus"	"KÜS"
"Krediidiandjate ja -vahendajate seadus"	"KAVS"
"Krediidiasutuste seadus"	"KAS"
"Kriminaalhooldusseadus"	"KrHS"
"Kriminaalmenetluse seadustik"	"KrMS"
"Kriminaalmenetluse seadustiku rakendamise seadus"	"KrMSRS"
"Kultuuriväärtuste väljaveo, ekspordi ja sisseveo seadus"	"KultVS"
"Kunstiteoste tellimise seadus"	"KTTS"
"Kunstliku viljastamise ja embrüokaitse seadus"	"KVEKS"
"Kutseseadus"	"KutS"
"Kutseõppeasutuse seadus"	"KutÕS"
"Kõrgemate riigiteenijate ametipalkade seadus"	"KRAPS"
"Käibemaksuseadus"	"KMS"
"Laeva asjaõigusseadus"	"LAÕS"
"Laeva lipuõiguse ja laevaregistrite seadus"	"LaevaRS"
"Lastekaitseseadus"	"LasteKS"
"Lennundusseadus"	"LennS"
"Lepitusseadus"	"LepS"
"Liikluskindlustuse seadus"	"LKindlS"
"Liiklusseadus"	"LS"
"Looduskaitseseadus"	"LKS"
"Loomade ja loomsete saadustega kauplemise ning nende impordi ja ekspordi seadus"	"LKVetJS"
"Loomakaitseseadus"	"LoKS"
"Loomatauditõrje seadus"	"LTTS"
"Loovisikute ja loomeliitude seadus"	"LLS"
"Lõhkematerjaliseadus"	"LMS"
"Maaelu ja põllumajandusturu korraldamise seadus"	"MPKS"
"Maagaasiseadus"	"MGS"
"Maa hindamise seadus"	"MHS"
"Maakatastriseadus"	"MaaKatS"
"Maakorraldusseadus"	"MaaKS"
"Maamaksuseadus"	"MaaMS"
"Maaparandusseadus"	"MaaParS"
"Maapõueseadus"	"MaaPS"
"Maareformi käigus kasutusvaldusesse antud maa omandamise seadus"	"MaaRKMOS"
"Maareformi seadus"	"MaaRS"
"Mahepõllumajanduse seadus"	"MPõS"
"Majandustegevuse seadustiku üldosa seadus"	"MsüS"
"Majandusvööndi seadus"	"MVS"
"Makseasutuste ja e-raha asutuste seadus"	"MERAS"
"Maksualase teabevahetuse seadus"	"MTVS"
"Maksukorralduse seadus"	"MKS"
"Meditsiiniseadme seadus"	"MSS"
"Meediateenuste seadus"	"MeeTS"
"Merealapiiride seadus"	"MPS"
"Meresõiduohutuse seadus"	"MSOS"
"Meretöö seadus"	"MTööS"
"Metsaseadus"	"MS"
"Mikrolülituse topoloogia kaitse seadus"	"MTKS"
"Mittetulundusühingute seadus"	"MTÜS"
"Muinsuskaitseseadus"	"MuKS"
"Muuseumiseadus"	"MuuS"
"Mõõteseadus"	"MõõteS"
"Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus"	"MSVS"
"Nakkushaiguste ennetamise ja tõrje seadus"	"NETS"
"Narkootiliste ja psühhotroopsete ainete ning nende lähteainete seadus"	"NPALS"
"Nimeseadus"	"NS"
"Noorsootöö seadus"	"NTS"
"Notariaadiseadus"	"NotS"
"Notari distsiplinaarvastutuse seadus"	"NotDVS"
"Notari tasu seadus"	"NotTS"
"Ohvriabi seadus"	"OAS"
"Okupatsioonirežiimide poolt represseeritud isiku seadus"	"ReprS"
"Pakendiaktsiisi seadus"	"PakAS"
"Pakendiseadus"	"PakS"
"Pankrotiseadus"	"PankrS"
"Patendiseadus"	"PatS"
"Patendivoliniku seadus"	"PatVS"
"Perehüvitiste seadus"	"PHS"
"Perekonnaseadus"	"PKS"
"Perekonnaseisutoimingute seadus"	"PKTS"
"Perioodi 2004–2006 struktuuritoetuse seadus"	"STS2004_2006"
"Perioodi 2007–2013 struktuuritoetuse seadus"	"STS2007_2013"
"Perioodi 2014–2020 struktuuritoetuse seadus"	"STS2014_2020"
"Planeerimisseadus"	"PlanS"
"Politsei ja piirivalve seadus"	"PPVS"
"Pornograafilise sisuga ja vägivalda või julmust propageerivate teoste leviku reguleerimise seadus"	"PorTS"
"Postiseadus"	"PostiS"
"Prokuratuuriseadus"	"ProkS"
"Psühhiaatrilise abi seadus"	"PsAS"
"Punase risti nimetuse ja embleemi seadus"	"PRS"
"Puuetega inimeste sotsiaaltoetuste seadus"	"PISTS"
"Põhikooli- ja gümnaasiumiseadus"	"PGS"
"Põhiseaduslikkuse järelevalve kohtumenetluse seadus"	"PSJKS"
"Põllumajandusloomade aretuse seadus"	"PõLAS"
"Põllumajandusreformi seadus"	"PõRS"
"Pärimisseadus"	"PärS"
"Päästeseadus"	"PäästeS"
"Päästeteenistuse seadus"	"PäästeTS"
"Pühade ja tähtpäevade seadus"	"PTS"
"Püsiasustusega väikesaarte seadus"	"VSaarS"
"Raamatupidamise seadus"	"RPS"
"Rahapesu ja terrorismi rahastamise tõkestamise seadus"	"RahaPTS"
"Rahvahääletuse seadus"	"RaHS"
"Rahvaraamatukogu seadus"	"RaRS"
"Rahvastikuregistri seadus"	"RRS"
"Rahvatervise seadus"	"RTerS"
"Rahvusooperi seadus"	"ROS"
"Rahvusvahelise eraõiguse seadus"	"REÕS"
"Rahvusvahelisel tsiviilmissioonil osalemise seadus"	"RTsMS"
"Rahvusvahelise sanktsiooni seadus"	"RSanS"
"Rakenduskõrgkooli seadus"	"RakKKS"
"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seadus"	"RKESS"
"Raseduse katkestamise ja steriliseerimise seadus"	"RKSS"
"Raskeveokimaksu seadus"	"RVMS"
"Raudteeseadus"	"RdtS"
"Ravikindlustuse seadus"	"RaKS"
"Ravimiseadus"	"RavS"
"Reklaamiseadus"	"RekS"
"Relvaseadus"	"RelvS"
"Riigieelarve seadus"	"RES"
"Riigihangete seadus"	"RHS"
"Riigikaitseliste sundkoormiste seadus"	"RKSKS"
"Riigikaitseseadus"	"RiKS"
"Riigikogu kodu- ja töökorra seadus"	"RKKTS"
"Riigikogu liikme staatuse seadus"	"RKLS"
"Riigikogu valimise seadus"	"RKVS"
"Riigikontrolli seadus"	"RKS"
"Riigi kultuuripreemiate ja kultuuristipendiumide seadus"	"RKPSS"
"Riigilõivuseadus"	"RLS"
"Riigipiiri seadus"	"RiPS"
"Riigisaladuse ja salastatud välisteabe seadus"	"RSVS"
"Riigi Teataja seadus"	"RTS"
"Riigivapi seadus"	"RVaS"
"Riigivaraseadus"	"RVS"
"Riigivastutuse seadus"	"RVastS"
"Riigi õigusabi seadus"	"RÕS"
"Riiklike elatusrahade seadus"	"RERS"
"Riiklike peretoetuste seadus"	"RPTS"
"Riikliku matusetoetuse seadus"	"RMTS"
"Riikliku pensionikindlustuse seadus"	"RPKS"
"Riikliku statistika seadus"	"RStS"
"Ruumiandmete seadus"	"RAS"
"Sadamaseadus"	"SadS"
"Saneerimisseadus"	"SanS"
"Seadme ohutuse seadus"	"SeOS"
"Seadus süümevande andmise korra kohta"	"SVS"
"Sihtasutuste seadus"	"SAS"
"Soodustingimustel vanaduspensionide seadus"	"SVPS"
"Soolise võrdõiguslikkuse seadus"	"SoVS"
"Sotsiaalhoolekande seadus"	"SHS"
"Sotsiaalmaksuseadus"	"SMS"
"Sotsiaalseadustiku üldosa seadus"	"SÜS"
"Spordiseadus"	"SpS"
"Strateegilise kauba seadus"	"StrKS"
"Sundeksemplari seadus"	"SES"
"Surma põhjuse tuvastamise seadus"	"SPTS"
"Sõjahaudade kaitse seadus"	"SHKS"
"Säilituseksemplari seadus"	"SäES"
"Säästva arengu seadus"	"SäAS"
"Söödaseadus"	"SöS"
"Süüteomenetluses tekitatud kahju hüvitamise seadus"	"SKHS"
"Tagatisfondi seadus"	"TFS"
"Taimede paljundamise ja sordikaitse seadus"	"TPSKS"
"Taimekaitseseadus"	"TaimKS"
"Tallinna Tehnikaülikooli seadus"	"TTÜKS"
"Tarbijakaitseseadus"	"TKS"
"Tartu Ülikooli seadus"	"TÜKS"
"Teadus- ja arendustegevuse korralduse seadus"	"TAKS"
"Teenetemärkide seadus"	"TeenMS"
"Tervishoiuteenuste korraldamise seadus"	"TTKS"
"Toiduseadus"	"ToiduS"
"Tolliseadus"	"TS"
"Toote nõuetele vastavuse seadus"	"TNVS"
"Tsiviilkohtumenetluse seadustik"	"TsMS"
"Tsiviilkohtumenetluse seadustiku ja täitemenetluse seadustiku rakendamise seadus"	"TsMSRS"
"Tsiviilseadustiku üldosa seadus"	"TsÜS"
"Tubakaseadus"	"TubS"
"Tuleohutuse seadus"	"TuOS"
"Tulumaksuseadus"	"TuMS"
"Tulundusühistuseadus"	"TÜS"
"Tunnistajakaitse seadus"	"TuKS"
"Turismiseadus"	"TurS"
"Turvaseadus"	"TurvaS"
"Tõestamisseadus"	"TõS"
"Täiskasvanute koolituse seadus"	"TäKS"
"Täitemenetluse seadustik"	"TMS"
"Töölepingu seadus"	"TLS"
"Tööstusdisaini kaitse seadus"	"TDKS"
"Tööstusheite seadus"	"THS"
"Tööstusomandi õiguskorralduse aluste seadus"	"TÕAS"
"Töötajate distsiplinaarvastutuse seadus"	"TDVS"
"Töötajate usaldusisiku seadus"	"TUIS"
"Töötajate üleühenduselise kaasamise seadus"	"TÜÜKS"
"Töötervishoiu ja tööohutuse seadus"	"TTOS"
"Tööturuteenuste ja -toetuste seadus"	"TTTS"
"Töötuskindlustuse seadus"	"TKindlS"
"Töövõimetoetuse seadus"	"TVTS"
"Vabariigi Presidendi valimise seadus"	"VPVS"
"Vabariigi Valitsuse reglement"	"VVR"
"Vabariigi Valitsuse seadus"	"VVS"
"Vandetõlgi seadus"	"VTS"
"Vanemahüvitise seadus"	"VHS"
"Vangistusseadus"	"VangS"
"Vedelkütuse erimärgistamise seadus"	"VKEMS"
"Vedelkütuse seadus"	"VKS"
"Vedelkütusevaru seadus"	"VKVS"
"Veeseadus"	"VeeS"
"Vereseadus"	"VereS"
"Veterinaarkorralduse seadus"	"VetKS"
"Võlaõigusseadus"	"VÕS"
"Võlaõigusseaduse, tsiviilseadustiku üldosa seaduse ja rahvusvahelise eraõiguse seaduse rakendamise seadus"	"VÕSRS"
"Võlgade ümberkujundamise ja võlakaitse seadus"	"VÕVS"
"Võrdse kohtlemise seadus"	"VõrdKS"
"Väetiseseadus"	"VäetS"
"Vähemusrahvuse kultuuriautonoomia seadus"	"VRKAS"
"Välismaalasele rahvusvahelise kaitse andmise seadus"	"VRKS"
"Välismaalaste seadus"	"VMS"
"Välisriigi kutsekvalifikatsiooni tunnustamise seadus"	"VKTS"
"Välissuhtlemisseadus"	"VäSS"
"Välisteenistuse seadus"	"VäTS"
"Välisõhu kaitse seadus"	"VÕKS"
"Väljasõidukohustuse ja sissesõidukeelu seadus"	"VSS"
"Väljateenitud aastate pensionide seadus"	"VAPS"
"Väärismetalltoodete seadus"	"VMTS"
"Väärteomenetluse seadustik"	"VTMS"
"Väärtpaberituru seadus"	"VPTS"
"Õiguskantsleri seadus"	"ÕKS"
"Õigusvastaselt võõrandatud vara maksumuse määramise ja kompenseerimise seadus"	"ÕVVS"
"Õppetoetuste ja õppelaenu seadus"	"ÕÕS"
"Äriseadustik"	"ÄS"
"Ühistranspordiseadus"	"ÜTS"
"Ühisveevärgi ja -kanalisatsiooni seadus"	"ÜVVKS"
"Üleliigse laovaru tasu seadus"	"ÜLTS"
"Ülikooliseadus"	"ÜKS"
"Üürivaidluse lahendamise seadus"	"ÜVLS"
